fromaccount,toaccount,syscode,timestamp,amount
A74586,1000240,136,2014/10/18 18:01,2000
C62377,1000240,136,2014/10/18 18:16,2000
C71063,1000240,136,2014/10/18 18:09,2000
C71063,1000240,136,2014/10/18 18:11,2000
D13951,1000240,136,2014/10/18 18:13,2000
C62377,1000240,136,2014/10/18 18:18,2000
D50166,1000240,136,2014/10/18 18:15,2000
D41761,1000240,136,2014/10/18 17:43,600
B70756,1000240,136,2014/10/18 18:22,2000
B56520,1000240,136,2014/10/18 16:42,1500
D63693,1000240,136,2014/10/18 16:43,1500
B67698,1000240,136,2014/10/18 16:25,600
D76834,1000240,136,2014/10/18 16:32,1500
E61991,1000240,136,2014/10/18 16:55,1500
B21411,1000240,136,2014/10/18 16:40,1500
D53899,1000240,136,2014/10/18 18:32,2000
D33843,1000240,136,2014/10/18 18:33,600
B79374,1000240,136,2014/10/18 18:33,600
B67756,1000240,136,2014/10/18 18:34,1500
C55733,1000240,136,2014/10/18 17:48,1500
B77987,1000240,136,2014/10/18 17:49,1500
E76710,1000240,136,2014/10/18 15:58,1500
C55403,1000240,136,2014/10/18 16:20,1500
D69973,1000240,136,2014/10/18 16:20,1500
E54425,1000240,136,2014/10/18 16:06,600
A46820,1000240,136,2014/10/18 16:07,600
A48222,1000240,136,2014/10/18 16:07,600
D77524,1000240,136,2014/10/18 16:09,600
A62365,1000240,136,2014/10/18 16:09,600
B56520,1000240,136,2014/10/18 16:34,600
C62377,1000240,136,2014/10/18 18:19,2000
C65047,1000240,136,2014/10/18 16:44,1500
E76934,1000240,136,2014/10/18 16:51,1500
D58043,1000240,136,2014/10/18 16:52,1500
C50904,1000240,136,2014/10/18 16:33,1500
C76069,1000240,136,2014/10/18 16:34,600
D78343,1000240,136,2014/10/18 16:52,1500
A58144,1000240,136,2014/10/18 17:14,1500
A31109,1000240,136,2014/10/18 16:57,1200
A31109,1000240,136,2014/10/18 16:59,1500
D67452,1000240,136,2014/10/18 19:08,2000
D53872,1000240,136,2014/10/18 19:08,2000
D77524,1000240,136,2014/10/18 16:21,1500
D69779,1000240,136,2014/10/18 16:21,1500
A62365,1000240,136,2014/10/18 16:22,1500
A65997,1000240,136,2014/10/18 16:01,600
A65997,1000240,136,2014/10/18 16:11,1500
A77253,1000240,136,2014/10/18 16:36,600
C50904,1000240,136,2014/10/18 16:22,600
A62437,1000240,136,2014/10/18 16:46,1500
A20602,1000240,136,2014/10/18 16:53,600
E61991,1000240,136,2014/10/18 16:53,600
C33316,1000240,136,2014/10/18 16:36,600
B28374,1000240,136,2014/10/18 16:54,1200
B28374,1000240,136,2014/10/18 17:01,1500
C60011,1000240,136,2014/10/18 16:15,1500
B47840,1000240,136,2014/10/18 15:48,1500
C54695,1000240,136,2014/10/18 16:15,1500
D42687,1000240,136,2014/10/18 16:16,1500
E54425,1000240,136,2014/10/18 16:16,1500
C33230,1000240,136,2014/10/18 16:41,1500
A23281,1000240,136,2014/10/18 16:41,1500
